exported_at,meter_id,display_name,area_name,online,meter_mode,protocol,comm_mode,realtime_power_kw,raw_electric_energy_kwh,display_electric_energy_kwh,effective_electric_energy_kwh,daily_energy_kwh,monthly_energy_kwh,voltage_a_v,voltage_b_v,voltage_c_v,current_a_a,current_b_a,current_c_a,power_factor,frequency_hz,updated_at,error
2026-03-28T14:21:29,cabinet_meter_1,二号厅LED,,1,type4,AV-100,TCP,0.0,39024.4,39024.4,39024.4,0.0,0.0,227.6,227.0,228.3,0.0,0.0,0.0,0.0,0.0,2026-03-28T14:20:54.446731,
2026-03-28T14:21:29,cabinet_meter_2,影棚配电柜,,1,type4,AV-100,TCP,0.4336,3500.64,3500.64,3500.64,0.26,0.26,227.7,227.5,228.6,0.2,0.5,1.2,0.0,0.0,2026-03-28T14:20:54.585967,
2026-03-28T14:21:29,cabinet_meter_3,影棚LED配电柜,,0,type4,AV-100,TCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-28T11:15:55.763840,连接失败
2026-03-28T14:21:29,cabinet_meter_4,门口LED,,0,type1,AV-100,TCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-28T11:15:57.298292,连接失败
2026-03-28T14:21:29,legacy_meter_3,二号厅,,1,direct,南誉三相四线 Modbus,TCP,0.27,37635.71,37635.71,37635.71,1.45,1.45,225.6,225.3,226.3,2.275,0.474,0.887,0.0,0.0,2026-03-28T14:20:58.835863,
2026-03-28T14:21:29,legacy_meter_5,中控室,,1,direct,德力西 DTSU6606 直连 Modbus,TCP,1.06,0.23,0.23,0.23,0.0,0.0,225.7,225.2,225.5,0.0,0.23,5.12,0.0,0.0,2026-03-28T14:21:00.193870,
2026-03-28T14:21:29,legacy_meter_9,办公室&工作坊,,1,direct,南誉三相四线 Modbus,TCP,0.2251,22.62,22.62,22.62,0.0,0.0,91.8,225.2,424.6,0.917,12.721,2.256,0.0,0.0,2026-03-28T14:21:06.796569,
2026-03-28T14:21:29,legacy_meter_10,2楼小机房,,1,direct,南誉 2P Int Modbus,TCP,0.317,6529.03,6529.03,6529.03,1.07,1.07,15.9,0.0,0.0,1.66,0.0,0.0,0.0,0.0,2026-03-28T14:21:08.891758,
2026-03-28T14:21:29,legacy_meter_11,咖啡厅,,1,direct,南誉三相四线 Modbus,TCP,0.2269,9225.18,9225.18,9225.18,2.16,2.16,1137.8,136.6,0.0,922.517,0.079,2.397,0.0,0.0,2026-03-28T14:21:10.701107,
2026-03-28T14:21:29,meter_1774625129670,一号厅,一号厅,0,cabinet_inner,Modbus-RTU/TCP,TCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-28T14:21:12.231181,连接失败
2026-03-28T14:21:29,meter_1774629630399,运营中心,,0,direct,Modbus-RTU/TCP,TCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-28T14:21:13.763395,连接失败
